StudyID,Title,Year,Authors_all,Journal,DOI
rayyan-123813945,"Acute embryonic exposure to corticosterone alters physiology, behaviour and growth in nestlings of a wild passerine",2016,"Tilgar, Vallo and Magi, Marko and Lind, Marianne and Lodjak, Jaanis and Moks, Kadri and Mand, Raivo",Hormones and Behaviour,10.1016/j.yhbeh.2016.06.008
rayyan-123814021,Avian mothers create different phenotypes by hormone deposition in their eggs,2006,"Eising, C.M. and Müller, W. and Groothuis, T.G.G.",Biology Letters,10.1098/rsbl.2005.0391
rayyan-123814059,Brood Reduction via Intra-clutch Variation in Testosterone - An Experimental Test in the Great Tit,2013,"Podlas, K. and Helfenstein, F. and Richner, H.",PLoS ONE,10.1371/journal.pone.0056672
rayyan-123814207,Developmental programming of the adrenocortical stress response by yolk testosterone depends on sex and life history stage,2020,"Schwabl, H. and Partecke, J.",Journal of Experimental Biology,10.1242/jeb.220152
rayyan-123814230,Differential effects of maternal yolk androgens on male and female offspring: A role for sex-specific selection?,2015,"Tschirren, B.",Plos One,10.1371/journal.pone.0133673
rayyan-123814234,Differential effects of yolk testosterone and androstenedione in embryo development and nestling growth in the spotless starling (Sturnus unicolor),2013,"Muriel, J. and Prez-Rodrguez, L. and Puerta, M. and Gil, D.",General and Comparative Endocrinology,10.1016/j.ygcen.2013.09.013
rayyan-123814348,"Effects of elevated egg corticosterone levels on behavior, growth, and immunity of yellow-legged gull (Larus michahellis) chicks",2005,"Rubolini, D. and Romano, M. and Boncoraglio, G. and Ferrari, R.P. and Martinelli, R. and Galeotti, P. and Fasola, M. and Saino, N.",Hormones and Behavior,10.1016/j.yhbeh.2005.01.006
rayyan-123814350,"Effects of elevated yolk testosterone levels on survival, growth and immunity of male and female yellow-legged gull chicks",2006,"Rubolini, D. and Romano, M. and Martinelli, R. and Saino, N.",Behavioral Ecology and Sociobiology,10.1007/s00265-005-0057-0
rayyan-123814355,Effects of experimentally manipulated yolk thyroid hormone levels on offspring development in a wild bird species,2016,"Ruuskanen, Suvi and Darras, Veerle M. and Visser, Marcel E. and Groothuis, Ton G. G.",Hormones and Behavior,10.1016/j.yhbeh.2016.03.006
rayyan-123814394,Egg corticosterone can stimulate telomerase activity and promote longer telomeres during embryo development,2020,"Noguera, Jose C. and da Silva, Alberto and Velando, Alberto",Molecular Ecology,10.1111/mec.15694 
rayyan-123814425,Elevated corticosterone during egg production elicits increased maternal investment and promotes nestling growth in a wild songbird,2016,"Bowers, E. Keith and Bowden, Rachel M. and Thompson, Charles F. and Sakaluk, Scott K.",Hormones and Behavior,10.1016/j.yhbeh.2016.05.010
rayyan-123815660,Yolk androgens reduce offspring survival,2000,"Sockman, KW and Schwabl, H",Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2000.1163
rayyan-123815653,Yolk androgens and begging behaviour in black-headed gull chicks: An experimental field study,2003,"Eising, C.M. and Groothuis, T.G.G.",Animal Behaviour,10.1006/anbe.2003.2287
rayyan-123814861,"Maternal condition, yolk androgens and offspring performance: A supplemental feeding experiment in the lesser black-backed gull (Larus fuscus)",2003,"Verboven, N. and Monaghan, P. and Evans, D.M. and Schwabl, H. and Evans, N. and Whitelaw, C. and Nager, R.G.",Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2003.2496
rayyan-123814466,European starling chicks benefit from high yolk testosterone levels during a drought year,2004,"Pilz, KM and Quiroga, M and Schwabl, H and Adkins-Regan, E",Hormones and Behavior,10.1016/j.yhbeh.2004.03.004
rayyan-123815688,Yolk testosterone organizes behavior and male plumage coloration in house sparrows (Passer domesticus),2004,"Strasser, R. and Schwabl, H.",Behavioral Ecology and Sociobiology,10.1007/s00265-004-0810-9
rayyan-123814130,Consequences of elevating plasma testosterone in females of a socially monogamous songbird: Evidence of constraints on male evolution?,2004,"Clotfelter, E.D. and O'Neal, D.M. and Gaudioso, J.M. and Casto, J.M. and Parker-Renga, I.M. and Snajdr, E.A. and Duffy, D.L. and Nolan Jr., V. and Ketterson, E.D.",Hormones and Behavior,10.1016/j.yhbeh.2004.03.003
rayyan-123814950,Maternal yolk testosterone does not modulate parasite susceptibility or immune function in great tit nestlings,2005,"Tschirren, B. and Saladin, V. and Fitze, P.S. and Schwabl, H. and Richner, H.",Journal of Animal Ecology,10.1111/j.1365-2656.2005.00963.x
rayyan-123815183,Prenatal androgen exposure modulates cellular and humoral immune function of black-headed gull chicks,2005,"Müller, W. and Groothuis, T.G.G. and Kasprzik, A. and Dijkstra, C. and Alatalo, R.V. and Siitari, H.",Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2005.3178
rayyan-123815411,Stress hormones: A link between maternal condition and sex-biased reproductive investment,2005,"Love, O.P. and Chin, E.H. and Wynne-Edwards, K.E. and Williams, T.D.",American Naturalist,10.1086/497440
rayyan-123815602,"Variable effects of yolk androgens on growth, survival, and immunity in eastern bluebird nestlings",2005,"Navara, K.J. and Hill, G.E. and Mendona, M.T.",Physiological and Biochemical Zoology,10.1086/430689
rayyan-123814024,Balancing between costs and benefits of maternal hormone deposition in avian eggs,2005,"Groothuis, T.G.G. and Eising, C.M. and Dijkstra, C. and Müller, W.",Biology Letters,10.1098/rsbl.2004.0233
rayyan-123814839,Maternal allocation of androgens and antagonistic effects of yolk androgens on sons and daughters,2006,"Saino, N. and Ferrari, R.P. and Romano, M. and Martinelli, R. and Lacroix, A. and Gil, D. and MØller, A.P.",Behavioral Ecology,10.1093/beheco/arj023
rayyan-123815659,Yolk androgens in the barn swallow (Hirundo rustica): A test of some adaptive hypotheses,2006,"Gil, D. and Ninni, P. and Lacroix, A. and De Lope, F. and Tirard, C. and Marzal, A. and Pape Møller, A.",Journal of Evolutionary Biology,10.1111/j.1420-9101.2005.00981.x
rayyan-123815691,Yolk testosterone stimulates growth and immunity in house finch chicks,2006,"Navara, K.J. and Hill, G.E. and Mendona, M.T.",Physiological and Biochemical Zoology,10.1086/501054
rayyan-123814430,Elevated yolk androgen levels benefit offspring development in a between-clutch context,2007,"Müller, W. and Deptuch, K. and Lpez-Rull, I. and Gil, D.",Behavioral Ecology,10.1093/beheco/arm060
rayyan-123814924,Maternal modulation of natal dispersal in a passerine bird: An adaptive strategy to cope with parasitism?,2007,"Tschirren, Barbara and Fitze, Patrick S. and Richner, Heinz",American Naturalist,10.1086/509945
rayyan-123815459,"The adaptive value of stress-induced phenotypes: Effects of maternally derived corticosterone on sex-biased investment, cost of reproduction, and maternal fitness",2008,"Love, O.P. and Williams, T.D.",American Naturalist,10.1086/590959
rayyan-123815683,"Yolk testosterone and estradiol variation relative to clutch size, laying order and hatching asynchrony in Common Grackles",2008,"Maddox, J.D. and Bowden, R.M. and Weatherhead, P.J.",Journal of Ornithology,10.1007/s10336-008-0311-0
rayyan-123814233,Differential effects of yolk hormones on maternal and paternal contribution to parental care,2008,"Tschirren, Barbara and Richner, Heinz",Animal Behaviour,10.1016/j.anbehav.2008.01.007
rayyan-123815155,Plasticity in the adrenocortical response of a free-living vertebrate: The role of pre- and post-natal developmental stress,2008,"Love, Oliver P. and Williams, Tony D.",Hormones and Behaviour,10.1016/j.yhbeh.2008.01.006
rayyan-123814949,Maternal yolk androgens stimulate territorial behaviour in black-headed gull chicks,2009,"Müller, W. and Dijkstra, C. and Groothuis, T.G.G.",Biology Letters,10.1098/rsbl.2009.0283
rayyan-123815487,The effects of experimentally manipulated yolk androgens on growth and immune function of male and female nestling collared flycatchers Ficedula albicollis,2009,"Pitala, Natalia and Ruuskanen, Suvi and Laaksonen, Toni and Doligez, Blandine and Tschirren, Barbara and Gustafsson, Lars",Journal of Avian Biology,10.1111/j.1600-048X.2009.04452.x
rayyan-123815655,Yolk androgens and the development of avian immunity: an experiment in jackdaws (Corvus monedula),2009,"Sandell, Maria I. and Tobler, Michael and Hasselquist, Dennis",Journal of Experimental Biology,10.1242/jeb.022111
rayyan-123815657,Yolk androgens do not appear to mediate sexual conflict over parental investment in the collared flycatcher Ficedula albicollis,2009,"Ruuskanen, Suvi and Doligez, Blandine and Tschirren, Barbara and Pitala, Natalia and Gustafsson, Lars and Groothuis, Ton G. G. and Laaksonen, Toni",Hormones and Behavior,10.1016/j.yhbeh.2009.01.010
rayyan-123814428,Elevated testosterone levels affect female breeding success and yolk androgen deposition in a passerine bird,2009,"Lopez-Rull, Isabel and Gil, Diego",Behavioural Processes,10.1016/j.beproc.2009.07.012
rayyan-123815690,Yolk testosterone shapes the expression of a melanin-based signal in great tits: An antioxidant-mediated mechanism?,2010,"Galvan, I. and Alonso-Alvarez, C.",Journal of Experimental Biology,10.1242/jeb.045096
rayyan-123815674,Yolk hormones have sex-specific long-term effects on behavior in the pied flycatcher (Ficedula hypoleuca),2010,"Ruuskanen, Suvi and Laaksonen, Toni",Hormones and Behavior,10.1016/j.yhbeh.2009.09.017
rayyan-123814506,Experimentally increased in ovotestosterone leads to increased plasma bactericidal activity and decreased cutaneous immune response in nestling house wrens,2011,"Clairardin, S.G. and Barnett, C.A. and Sakaluk, S.K. and Thompson, C.F.",Journal of Experimental Biology,10.1242/jeb.054833
rayyan-123815588,Turning a deaf ear: a test of the manipulating androgens hypothesis in house wrens,2011,"Barnett, Craig A. and Clairardin, Sandrine G. and Thompson, Charles F. and Sakaluk, Scott K.",Animal Behaviour ,10.1016/j.anbehav.2010.09.019
rayyan-123815663,"Yolk androstenedione, but not testosterone, predicts offspring fate and reflects parental quality",2011,"Hegyi, Gergely and Herenyi, Marton and Szoellosi, Eszter and Rosivall, Balazs and Toeroek, Janos and Groothuis, Ton G. G.",Behavioral Ecology,10.1093/beheco/arq165
rayyan-123815689,Yolk testosterone reduces oxidative damages during postnatal development,2011,"Noguera, Jose C. and Alonso-Alvarez, Carlos and Kim, Sin-Yeon and Morales, Judith and Velando, Alberto",Biology Letters,10.1098/rsbl.2010.0421
rayyan-123814809,Long-term effects of yolk androgens on phenotype and parental feeding behavior in a wild passerine,2012,"Ruuskanen, Suvi and Doligez, Blandine and Gustafsson, Lars and Laaksonen, Toni",Behavioral Ecology and Sociobiology,10.1007/s00265-012-1373-9
rayyan-123814811,Long-term fitness consequences of high yolk androgen levels: Sons pay the costs,2012,"Ruuskanen, S. and Doligez, B. and Pitala, N. and Gustafsson, L. and Laaksonen, T.",Functional Ecology,10.1111/j.1365-2435.2012.01994.x
rayyan-123815132,Penguin chicks benefit from elevated yolk androgen levels under sibling competition,2012,"Poisbleau, M. and Müller, W. and Carslake, D. and Demongin, L. and Groothuis, T.G.G. and van Camp, J. and Eens, M.",PLoS ONE,10.1371/journal.pone.0042174
rayyan-123814941,Maternal testosterone influences a begging component that makes fathers work harder in chick provisioning,2013,"Noguera, Jose C. and Kim, Sin-Yeon and Velando, Alberto",Hormones and Behaviour,10.1016/j.yhbeh.2013.04.008
rayyan-123815144,Phenotypic plasticity in response to breeding density in tree swallows: An adaptive maternal effect?,2013,"Bentz, Alexandra B. and Navara, Kristen J. and Siefferman, Lynn",Hormones and Behaviour,10.1016/j.yhbeh.2013.08.009
rayyan-123815076,Optimizing the trade-off between offspring number and quality in unpredictable environments: Testing the role of differential androgen transfer to collared flycatcher eggs,2013,"Rice, Amber M. and Vallin, Niclas and Kulma, Katarzyna and Arntsen, Hanna and Husby, Arild and Tobler, Michael and Qvarnstrom, Anna",Hormones and Behavior,10.1016/j.yhbeh.2013.03.019
rayyan-123815313,Sex-specific effects of yolk androgens on begging behavior and digestion in pied flycatchers,2013,"Ruuskanen, S. and Laaksonen, T.",Journal of Avian Biology,10.1111/j.1600-048X.2013.00073.x
rayyan-123815011,Natural selection acts in opposite ways on correlated hormonal mediators of prenatal maternal effects in a wild bird population,2014,"Tschirren, B. and Postma, E. and Gustafsson, L. and Groothuis, T.G.G. and Doligez, B.",Ecology Letters,10.1111/ele.12339
no rayyan number,Cycles of species replacement emerge from locally induced maternal effects on offspring behavior in a passerine bird,2015,"Duckworth, R.A. and Belloni, V. and Anderson, S.R.",Science,10.1126/science.1260154
rayyan-123814142,Context-dependent effects of yolk androgens on nestling growth and immune function in a multibrooded passerine,2015,"Muriel, J. and Salmn, P. and Nunez-Buiza, A. and de Salas, F. and Prez-Rodrguez, L. and Puerta, M. and Gil, D.",Journal of Evolutionary Biology,10.1111/jeb.12668
rayyan-123814261,Diverse dose-response effects of yolk androgens on embryo development and nestling growth in a wild passerine,2015,"Muriel, J. and Prez-Rodrguez, L. and Puerta, M. and Gil, D.",Journal of Experimental Biology,10.1242/jeb.118257
rayyan-123814681,Immune activation generates corticosterone-mediated terminal reproductive investment in a wild bird,2015,"Bowers, E.K. and Bowden, R.M. and Sakaluk, S.K. and Thompson, C.F.",American Naturalist,10.1086/681017
rayyan-123815168,Pre- and Postnatal Effects of Corticosterone on Fitness-Related Traits and the Timing of Endogenous Corticosterone Production in a Songbird,2016,"Strange, M.S. and Bowden, R.M. and Thompson, C.F. and Sakaluk, S.K.",Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,10.1002/jez.2022
rayyan-123815237,Relationship between maternal environment and DNA methylation patterns of estrogen receptor alpha in wild Eastern Bluebird (Sialia sialis) nestlings: a pilot study,2016,"Bentz, A.B. and Sirman, A.E. and Wada, H. and Navara, K.J. and Hood, W.R.",Ecology and Evolution,10.1002/ece3.2162
rayyan-123815365,Side-specific effect of yolk testosterone elevation on second-to-fourth digit ratio in a wild passerine,2016,"Nagy, G. and Blzi, G. and Hegyi, G. and Torok, J.",Science of Nature,10.1007/s00114-015-1328-x
rayyan-123815681,Yolk testosterone affects growth and promotes individual-level consistency in behavioral lateralization of yellow-legged gull chicks,2016,"Possenti, Cristina Daniela and Romano, Andrea and Caprioli, Manuela and Rubolini, Diego and Spiezio, Caterina and Saino, Nicola and Parolini, Marco",Hormones and Behavior,10.1016/j.yhbeh.2016.01.007
rayyan-123815148,Physiological increase of yolk testosterone level does not affect oxidative status and telomere length in gull hatchlings,2018,"Parolini, M. and Possenti, C.D. and Romano, A. and Caprioli, M. and Rubolini, D. and Saino, N.",Plos One,10.1371/journal.pone.0206503
rayyan-123815169,"Pre- and postnatal effects of experimentally manipulated maternal corticosterone on growth, stress reactivity and survival of nestling house wrens",2018,"Weber, B.M. and Bowers, E.K. and Terrell, K.A. and Falcone, J.F. and Thompson, C.F. and Sakaluk, S.K.",Functional Ecology,10.1111/1365-2435.13126
rayyan-123815586,Transient growth-enhancing effects of elevated maternal thyroid hormones at no apparent oxidative cost during early postnatal period,2019,"Hsu, B.-Y. and Doligez, B. and Gustafsson, L. and Ruuskanen, S.",Journal of Avian Biology,10.1111/jav.01919
rayyan-123815439,Testing for context-dependent effects of prenatal thyroid hormones on offspring survival and physiology: an experimental temperature manipulation,2020,"Hsu, B.-Y. and Sarraude, T. and Cossin-Sevrin, N. and Crombecque, M. and Stier, A. and Ruuskanen, S.",Scientific Reports,10.1038/s41598-020-71511-y
rayyan-863278414,Maternal effects and urbanization: Variation of yolk androgens and immunoglobulin in city and forest blackbirds,2020,"Partecke, J. and Hegyi, G. and Fitze, P.S. and Gasparini, J. and Schwabl, H.",Ecology and Evolution,10.1002/ece3.6058
rayyan-863278427,"Natural variation in yolk fatty acids, but not androgens, predicts offspring fitness in a wild bird",2021,"Mentesana, L. and Andersson, M.N. and Casagrande, S. and Goymann, W. and Isaksson, C. and Hau, M.",Frontiers in Zoology,10.1186/s12983-021-00422-z
rayyan-123815658,"Yolk androgens in great tit eggs are related to male attractiveness, breeding density and territory quality",2011,"Remes, Vladimir",Behavioral Ecology and Sociobiology,10.1007/s00265-011-1139-9
